,precision,recall,f1-score,support
No,0.9240759240759241,0.8022549869904597,0.8588672237697307,4612.0
Yes,0.5531602155805977,0.787857641311933,0.6499712147380541,1433.0
accuracy,0.7988420181968569,0.7988420181968569,0.7988420181968569,0.7988420181968569
macro avg,0.738618069828261,0.7950563141511964,0.7544192192538923,6045.0
weighted avg,0.8361483458668584,0.7988420181968569,0.8093472930927427,6045.0
