,precision,recall,f1-score,support
No,0.9709035222052067,0.9895941727367326,0.9801597526410719,5766.0
Yes,0.9642857142857143,0.9045226130653267,0.9334485738980121,1791.0
accuracy,0.9694323144104804,0.9694323144104804,0.9694323144104804,0.9694323144104804
macro avg,0.9675946182454604,0.9470583929010297,0.956804163269542,7557.0
weighted avg,0.9693351096097573,0.9694323144104804,0.9690892589095885,7557.0
